[2026-07-18T15:51:54.877Z] GET https://www.google.com/js/th/BUNmUdaXE22sPOqJdMcvW-7y5cUt1_cD010dA1woXxc.js → 200 (1ms, 62510B)
[2026-07-18T15:51:54.927Z] GET https://www.youtube.com/generate_204?MjGYbg → 204 (10ms, ?B)
[2026-07-18T15:51:54.937Z] POST https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT → 200 (66ms, 102B)
[2026-07-18T15:51:54.940Z] POST https://www.youtube.com/youtubei/v1/log_event?alt=json → 200 (33ms, 28B)
[2026-07-18T15:51:54.995Z] GET https://www.youtube.com/s/_/ytembeds/_/js/k=ytembeds.base.en_US.oj0x9vs_Wf8.es5.O/am=AAAAgA/d=1/exm=base,r78Drb,root/ed=1/br=1/rs=AGKMywHnp_uHpt1xHNppgijvAyyugDexYg/m=Nuilue → 200 (9ms, 20044B)
[2026-07-18T15:51:54.997Z] GET https://yt3.ggpht.com/9ir8yKzeP88G2h2t_-9-wahJkl-qR__8BuCmIQrfj0nY03AZkFcEYhD9yBpJkITGteLBAXsCtw=s88-c-k-c0x00ffffff-no-rj → 200 (21ms, 3845B)
[2026-07-18T15:51:55.441Z] GET https://www.youtube.com/api/timedtext?v=m91L5dTdORs&ei=GqFbar-7JMuU-LAP-r6XkA0&caps=asr&opi=112496729&xoaf=5&xowf=1&hl=es-419&ip=0.0.0.0&ipbits=0&expire=1784415114&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=5D3962A66523962755C0F25087E0009239C20991.19FBA16B6CAE7F94D1DA3919869DE25331AEE35A&key=yt8&kind=asr&lang=es&fmt=json3&xorb=2&xobt=3&xovt=3&cbrand=apple&cbr=HeadlessChrome&cbrver=145.0.7632.6&c=WEB_EMBEDDED_PLAYER&cver=2.20260717.01.00&cplayer=UNIPLAYER&cos=Macintosh&cosver=10_15_7&cplatform=DESKTOP → 200 (41ms, 69862B)
[2026-07-18T15:51:55.447Z] POST https://www.youtube.com/api/stats/qoe?fmt=396&afmt=251&cpn=UjpTzbQJNPy5dawK&el=embedded&ns=yt&fexp=v1%2C24004644%2C27058999%2C34656%2C124674%2C117689%2C9252%2C3479%2C13030%2C23206%2C100702%2C2877%2C9731%2C2497%2C25059%2C4174%2C30447%2C18705%2C21437%2C4571%2C5237%2C7778%2C16088%2C6621%2C2783%2C6629%2C17197%2C9500%2C1840%2C18113%2C27603%2C7915%2C5244%2C452%2C30488%2C5022%2C9970%2C10619%2C4657%2C13551%2C16105%2C9181%2C15416%2C82%2C4405%2C12973%2C12582%2C7525%2C6032%2C1168%2C372%2C7758%2C1538%2C14914%2C173%2C8868%2C3475%2C1290%2C4063%2C1900%2C7967%2C1595%2C927%2C2249%2C115%2C158%2C8116%2C3693%2C6573%2C5017%2C1461%2C756%2C22968%2C2%2C3970%2C586%2C828%2C2199%2C446%2C1204%2C4702%2C845%2C885%2C1310%2C666%2C9%2C611%2C284%2C653%2C2%2C271%2C7618%2C1297%2C3189%2C3099%2C1832%2C11444%2C1160%2C6155%2C317%2C8609&cl=948052483&seq=1&docid=m91L5dTdORs&ei=GqFbar-7JMuU-LAP-r6XkA0&event=streamingstats&plid=AAZW5KcATNB7agu2&cbrand=apple&cbr=HeadlessChrome&cbrver=145.0.7632.6&c=WEB_EMBEDDED_PLAYER&cver=2.20260717.01.00&cplayer=UNIPLAYER&cos=Macintosh&cosver=10_15_7&cplatform=DESKTOP&vps=0.000:N,0.021:B,1.032:B,1.032:B&cat=streaming,mta,sabr&cmt=0.021:0.000,1.032:0.000&cfs=0.239:a.es:::s&vfs=1.032:396:396::a:sms.2:CAEoAQ&view=1.032:558:279&bwm=1.032:1389:0.883&bwe=1.032:321055&bat=1.032:0.53:0&vis=1.032:0&bh=1.032:0.000&qclc=ChBVanBUemJRSk5QeTVkYXdLEAE → 204 (140ms, ?B)
[2026-07-18T15:51:55.667Z] GET https://i.ytimg.com/vi_webp/m91L5dTdORs/mqdefault.webp → 200 (280ms, 12122B)
[2026-07-18T15:51:55.723Z] POST https://www.youtube.com/api/stats/playback?ns=yt&el=embedded&cpn=UjpTzbQJNPy5dawK&ver=2&cmt=0.018&fmt=396&fs=0&rt=1.309&euri=http%3A%2F%2Flocalhost%3A8742%2F&lact=1328&cl=948052483&mos=0&volume=100&cbrand=apple&cbr=HeadlessChrome&cbrver=145.0.7632.6&c=WEB_EMBEDDED_PLAYER&cver=2.20260717.01.00&cplayer=UNIPLAYER&cos=Macintosh&cosver=10_15_7&cplatform=DESKTOP&autoplay=1&epm=1&hl=es_MX&cr=AR&len=232.221&fexp=v1%2C24004644%2C27058999%2C34656%2C124674%2C117689%2C9252%2C3479%2C13030%2C23206%2C100702%2C2877%2C9731%2C2497%2C25059%2C4174%2C30447%2C18705%2C21437%2C4571%2C5237%2C7778%2C16088%2C6621%2C2783%2C6629%2C17197%2C9500%2C1840%2C18113%2C27603%2C7915%2C5244%2C452%2C30488%2C5022%2C9970%2C10619%2C4657%2C13551%2C16105%2C9181%2C15416%2C82%2C4405%2C12973%2C12582%2C7525%2C6032%2C1168%2C372%2C7758%2C1538%2C14914%2C173%2C8868%2C3475%2C1290%2C4063%2C1900%2C7967%2C1595%2C927%2C2249%2C115%2C158%2C8116%2C3693%2C6573%2C5017%2C1461%2C756%2C22968%2C2%2C3970%2C586%2C828%2C2199%2C446%2C1204%2C4702%2C845%2C885%2C1310%2C666%2C9%2C611%2C284%2C653%2C2%2C271%2C7618%2C1297%2C3189%2C3099%2C1832%2C11444%2C1160%2C6155%2C317%2C8609&rtn=3&afmt=251&size=558%3A279&inview=0.84&muted=0&cc=a.es&au_d=es-US.4&docid=m91L5dTdORs&ei=GqFbar-7JMuU-LAP-r6XkA0&plid=AAZW5KcATNB7agu2&referrer=https%3A%2F%2Fwww.youtube.com%2Fembed%2Fm91L5dTdORs%3Fautoplay%3D1%26rel%3D0&of=nGfz5U-C4pqglAa0JSMMOg&vm=CAEQABgEOjJBSHFpSlRLbjdrVzl6aDZQeU1HVEpwRVQ0YUttNHQtTmxZemF4RldJV001NXpVQ0NBQWJkQUxkcUFQSUVoamR0YWNJTzV5MHU0TldFa0VwUmFDcHRpV0x6OEdUMHktMDhpdlhmTTdELUVscGx4VUg3ODdsNktJbkVVeWlzUWpxd05nMmp1ZUQxSjgtbnI2d3o1Sm92QkpYLQ → 204 (28ms, ?B)
[2026-07-18T15:51:55.723Z] GET https://www.youtube.com/ptracking?html5=1&video_id=m91L5dTdORs&cpn=UjpTzbQJNPy5dawK&ei=GqFbar-7JMuU-LAP-r6XkA0&ptk=youtube_none&pltype=contentugc → 204 (27ms, ?B)
